Name	Latitude	Longitude
Pretoria	-25.74486	28.18783
West Beirut	51.48653	-0.40583
Beit Lahiya	31.5464	34.49514
Strait of Hormuz	26.56667	56.25
Tawfiq	33.01842	44.38071
Philippines	13.40882	122.56155
Beirut Hamra	33.89332	35.50157
New Delhi	28.62137	77.2148
Arabian Gulf	26.35058	50.16805
Bnei Menashe	32.08074	34.8338
Earth	0	0
Iran SistanBaluchestan province	32	53
Peru	-10	-75.25
Russia	60	100
Mattat	33.04134	35.35858
Marrakesh	31.63416	-7.99994
Egypt	27	30
Miraj	16.8671	74.70146
Yaroun	33.08028	35.4225
Lebanon	33.83333	35.83333
Shadi	34.84836	60.42347
Gaza	31.50161	34.46672
Zawayda	NA	NA
DRC	-17.98192	20.76806
South Africa	26.5	-81
Uganda	1.25	32.5
Pakistan	30	70
Panjgur Pakistan Balochistan province	48.11313	16.86215
Anthedon	38.49842	23.44886
South Sudan	7.5	30
East Beirut	37.02332	-77.36954
Bab alMandeb	12.60416	43.33557
Ajaq	35.64005	48.84628
Hague	52.51118	-106.41859
Africa4Palestine	NA	NA
Riyadh	24.68773	46.72185
UK	54.75844	-2.69531
Brussels	50.85045	4.34878
Syria	35	38
Kerem Shalom	31.22777	34.28459
alAhli	NA	NA
Iceland	65	-18
East Timor	-8.83333	125.75
Jakarta	-6.21462	106.84513
Islamabad	33.72148	73.04329
Bosnia	44	18
Naqoura	33.11806	35.13972
Venezuela	8	-66
Republic of Korea	24	121
New York Ellis Island	40.71427	-74.00597
Yemen	15.5	47.5
New Zealand	-42	174
Vienna	48.20849	16.37208
Calves Hill	42.27426	-71.32284
Aroura	38.92219	-111.93409
Tel Aviv	32.08088	34.78057
East Jerusalem	31.78336	35.23388
Saada	16.94021	43.76393
Aqaba	29.52667	35.00778
Africa	7.1881	21.09375
Dearborn	42.32226	-83.17631
India	22	79
Levant	34	36
AlFukhari	NA	NA
Gazas	-23.5	33
Kabul	34.52813	69.17233
Alborz	36.01117	50.80956
Malkia	60.75482	24.06197
Herzegovina	43	17.83333
Middle Eastern	33.13906	35.85869
Hyderabad	17.38405	78.45636
New York	40.71427	-74.00597
Britain	54	-2
Shatila	42.65879	45.15632
Calgary	51.05011	-114.08529
Myanmar	21	96
Gaza Daraj	31.50161	34.46672
Romania	46	25
Mariupol	47.09514	37.54131
Sandridge Beach	-37.83931	144.91747
Yemen Red Sea	12.79891	45.03313
Abudaqa	NA	NA
Davos	46.80429	9.83723
Kiryat Shmona	33.20733	35.57212
Jenin	32.45943	35.30086
Bahrain	26.03333	50.55
Tulkarem	32.31156	35.0269
Namibia	-22	17
Algeria	28	3
AsiaPacific	NA	NA
Dabbouch	NA	NA
Yemen coast	12.79891	45.03313
California	37.25022	-119.75126
Har Gilo	31.72119	35.1724
Al Maniya	41	20
Hamas	51.68033	7.82089
Karem Abu Salem	30.486	31.60823
Barcelona	41.38879	2.15899
Tida	31.24415	30.83845
Deir alBalah	31.41834	34.34933
Ansarallah	NA	NA
Mecca	21.42664	39.82563
Balochistan	28.47849	65.64355
Rashidiya	25.22499	55.38947
Great Lakes	26.50687	127.94581
Bani Naim	15.88333	43.78333
Washington	47.50012	-120.50147
QFFD	NA	NA
Global South	-34.98943	138.51674
India Basmati	22	79
Madrid	40.4165	-3.70256
New Orleans	29.95465	-90.07507
Southeast Michigan	43.96102	-83.71087
Arabian Sea	25	45
Dena	28.44289	90.28327
Lake Michigan	44.00778	-86.75698
Gaza city	31.50161	34.46672
Crete	35.15585	24.89502
Old City of Gaza	38.53998	-109.49567
alJiftlik	NA	NA
Toronto	43.70643	-79.39864
Charleston	32.77632	-79.93275
Ankara	39.91987	32.85427
azZahra	19.11437	41.91694
Litani River	3.3	-54.1
Western Cape province	40.64575	-79.91382
Comoros	-12.23333	44.44553
Michigan	44.25029	-85.50033
Djibouti	11.83333	42.5
Eastern Mediterranean region	39.42657	41.23464
Kuwait	29.5	47.75
Arura	9.8694	76.30498
Lama Khater	9.55111	1.18611
Dublin	53.33306	-6.24889
Scotland	56	-4
Heliopolis	36.50361	7.44278
Byzantium	41.01384	28.94966
Nablus	32.22111	35.25444
United States	39.76	-98.5
Asia	29.84064	89.29688
Pashias	NA	NA
Hamoud	15.64004	-11.51864
Republic of Cyprus	24	121
Oakland	37.80437	-122.2708
Mozambique	-18.25	35
Cameroon	6	12.5
United Kingdom	54.75844	-2.69531
PA	12.66667	-3.95
RedSea	NA	NA
Maldives	3.2	73
League of Arab States	29.75634	-94.97187
Kuala Lumpur	3.1412	101.68653
Salameh	34.74384	59.97553
Gaza strip	31.50161	34.46672
Estonia	59	26
Islamic Republic of Iran	32	53
Zurich	47.36667	8.55
Lucknow	26.83928	80.92313
North America	46.07323	-100.54688
AlAqsa	NA	NA
Aleppo	36.20124	37.16117
Salem	44.9429	-123.0351
America	26.0173	-104.41406
Bab elMandeb strait	12.60416	43.33557
Dahiya	8.0264	80.533
Indian Ocean	-10	70
Chicago	41.85003	-87.65005
Slovenia	46.08333	15
alMawasi district	14.3656	44.7778
Norway	62	10
Hormuz	27.5026	54.2839
BabelMandeb strait	6.8127	122.0236
La France	45.20507	5.74629
Kolasib	24.22388	92.67869
Gulf of Aden	12	48
Bani Suheila	31.34337	34.32337
Milton Ontario	52.04172	-0.75583
Middle East	33.13906	35.85869
Washington DC	47.50012	-120.50147
Libya	28	17
NaksBilal	NA	NA
Minnesota	46.25024	-94.25055
Paltel	32.08712	35.18388
Thailand	15.5	101
Beit Nabala	31.5464	34.49514
Kashmir	30.33315	63.19089
Beirut Shatila	33.82093	35.48839
Copenhagen	55.67594	12.56553
alKatiba	NA	NA
Canada	60.10867	-113.64258
Rask	29.49114	57.18543
South China Sea	51.53782	0.71433
Syria Golan Heights	35	38
China	35	105
alNasser	NA	NA
Aden	12.77944	45.03667
Gaza City Zeitoun	41.72621	-72.44008
Tubas	32.32091	35.36989
Benarasiyaa	NA	NA
Sabra	34.83042	-1.547
West Beirutis	19.38333	-71.21667
Sanaa	15.35472	44.20667
Detroit	42.33143	-83.04575
State of Qatar	25.5	51.25
Nuseirat	31.44861	34.3925
Darby Nakba	46.0227	-114.17814
Italy	42.83333	12.83333
Moscow	55.75222	37.61556
Areas A	-16.39889	-71.535
Near East	17.97421	-76.80663
United Arab Emirates	23.75	54.5
Jericho	31.86667	35.45
Egypt Sinai Peninsula	31.19518	29.90976
alMughraqa	NA	NA
Tunisia	34	9
Persian Gulf	27	51
Hajjah	15.69425	43.60582
Bangladesh	24	90
Cyprus	35.00304	32.98791
Syria Aleppo	33.26954	35.19626
Mexico	23	-102
Manchester	42.99564	-71.45479
ZIM Ganges	45.06873	-83.54131
Baghdad	33.34058	44.40088
Zeitoun	34.06222	35.68528
West Bank	19.38197	-81.39281
Kiryat Arba	33.20733	35.57212
Amman	31.95522	35.94503
Malaysia	2.5	112.5
Netivot	31.42305	34.58911
Gisha	-1.744	29.9586
Kyiv	50.45466	30.5238
Mercator	NA	NA
Gaza Strip	31.50161	34.46672
Somalia	6	48
Jordan	31	36
alFukhari	NA	NA
Gaza City	31.50161	34.46672
Africa Cape of Good Hope	18.31281	-4.83398
Ashdod	31.79213	34.64966
Palestine_UN	NA	NA
Mediterranean	35.78	19.33
Vietnam	16.16667	107.83333
South Asia	21.28937	78.66211
USA	39.76	-98.5
Dhamar	14.54274	44.40514
zarahsultana	NA	NA
Eilat	29.55805	34.94821
SistanBaluchestan	NA	NA
Belarus	53	28
Europe	48.69096	9.14062
Ofer	32.62257	34.98302
Denmark	56	10
Limassol	34.68406	33.03794
Kampala	0.31628	32.58219
Srebrenica	44.10748	19.29669
Hebrew	NA	NA
Israel Haifa	41.68181	-70.27889
Belgium	50.75	4.5
Shujayea	NA	NA
Bureij	31.43944	34.40306
Shawawra	NA	NA
Colombo Kollupitiya	-76.51667	-144.73333
alSaftawi	NA	NA
Idlib	35.93062	36.63393
adoniaayebare	NA	NA
Gilo	-7.45	-40.83333
Northern Gaza	54.77535	-105.64453
Oman	21	57
Mazzeh	NA	NA
UAE	12.26667	-14.7
Sri Lanka	7.75	80.75
Makhoul	33.40788	37.3558
US	49.1	1.96667
Marib	15.6213	46.0111
Adamit	33.07971	35.21103
Taiz	13.57952	44.02091
Ireland	53	-8
Kadri	3.34322	30.99265
Houthis	NA	NA
Berlin	52.52437	13.41053
Finland	64	26
WestBank	49.83521	-119.62532
Ras Issa	34.11528	35.72278
Des Moines	41.60054	-93.60911
Zarit	33.09955	35.2889
AlBayda	18.86139	42.07078
Ukraine	49	32
alDabshah	NA	NA
Rwanda	-2	30
Supernova	NA	NA
West	42.77268	-116.9579
Farsiya	35.95584	42.96643
MirandaCleland	NA	NA
Bolivia	-17	-65
alArouri	NA	NA
Ibil El Saqi	33.35667	35.62639
Sydney	-33.86785	151.20732
Iowa City	41.66113	-91.53017
Tehran	35.69439	51.42151
Beersheba	31.25181	34.7913
Melbourne	-37.814	144.96332
Kerman	30.28321	57.07879
Austria	47.33333	13.33333
Sderot	31.525	34.59693
Haryana Jind	29.25	76.33333
State of Palestine	30.25	79.25
Walla	-2.85662	33.32102
Netanyahu	NA	NA
Jordan River	31	36
MoTaz	NA	NA
Bint Jbeil	33.11944	35.43333
IsraelPalestine	NA	NA
Caesarea	38.73222	35.48528
alKhader	NA	NA
Kurdistan	37	44
AlMasjid alOmari alKabir	35.13444	36.74545
Bab alMandeb Strait	30.73222	56.7175
Yugoslavia	44	19.75
Beruit	NA	NA
Entebbe Uganda	0.04239	32.4435
Southern Africa	-27.11781	22.28027
Kingdom of Judah	20.75028	-156.50028
Bahaa	NA	NA
alMazraa Asharqiya	NA	NA
Republic of Yemen	24	121
Kefar Sava	32.175	34.90694
Wallonia	50.5	4.75
Spain	40	-4
Cairo	30.06263	31.24967
Ocean Jazz	-10	70
Mawasi	32.48133	68.85529
France	46	2
Ottawa	45.41117	-75.69812
Western Sahara	10.01211	105.83224
Bethlehem	40.62593	-75.37046
Indonesia	-5	120
Manchester City	42.99564	-71.45479
Dhekelia	35.01667	33.775
Colombia	4	-73.25
Margaliot	NA	NA
Israel	31.5	34.75
Alaska	64.00028	-150.00028
alMahatta	NA	NA
Dahiyeb	NA	NA
Texas	31.25044	-99.25061
Sarit	35.47569	71.45229
Geneva	46.20222	6.14569
Johannesburg	-26.20227	28.04363
Afghanistan	33	66
alMazraa	NA	NA
Switzerland	47.00016	8.01427
Harvey	41.61003	-87.64671
Maroun El Ras	33.10381	35.4444
Khan Yunis	31.34018	34.30627
Eurasia	87	80
Mandeb Strait	4	100
Panjgur	26.75	64
Montreal	45.50884	-73.58781
Ramallah	31.89964	35.20422
Eastern Mediterranean	39.42657	41.23464
BasedMikeLee	NA	NA
Haryana	29.25	76.33333
Chile	-30	-71
Bab alMandeb strait	30.73222	56.7175
Golan Heights	32.90485	35.80725
Kangpokpi	25.15114	93.9695
Louisiana	31.00047	-92.0004
TomWhiteGaza	NA	NA
Aizawl	23.72894	92.71791
Flanders	51	4.5
Hamad	31.40307	48.45684
Serbia	44.81892	20.45998
South Africansfrom	38.02807	-97.94033
alBayda	18.86139	42.07078
Philadelphi	NA	NA
Swaziland	-26.5	31.5
Germany	51.5	10.5
Taalbaya	NA	NA
Hungary	47	20
Raanana	32.1836	34.87386
Istanbul	41.01384	28.94966
Wayne County	-36.75	175
Marshall Islands	7.113	171.236
Singapore	1.36667	103.8
Morocco	28.5	-10
Beirut	33.89332	35.50157
Greece	39	22
Avivim	33.08892	35.47228
Gretna	41.14083	-96.23974
Mackinac Island	43.68897	-70.2331
Saudi Arabia	25	45
Lisbon	38.71667	-9.13333
Khreis	25.05944	48.06389
Tel Israel	32.25327	34.87034
Damascus	33.5102	36.29128
Central Gaza Strip	-2.02107	24.69727
Moldova	47.25	28.58333
Columbia	4	-73.25
Jarrah	24.05	54.1
Nairoukh	NA	NA
Iowa	42.00027	-93.50049
Gulf	-7.7246	145.08545
majedalansari	NA	NA
Kosovo	42.58333	20.91667
alShifa	NA	NA
Erbil	36.19117	44.00943
Kanaker	40.22302	44.53986
Deir Qaddis	35.33588	40.14084
Hebron	31.52935	35.0938
Hamra	31.81088	-8.27151
Jerusalem	31.76904	35.21633
Nevatim	31.22417	34.88098
Seychelles	-4.58333	55.66667
Australia	-25	135
Balakhiyah	NA	NA
Sierra Leone	8.5	-11.5
Montenegro	42.75	19.25
Palestinian Territories	31.92157	35.20329
Czech Republic	49.75	15
Cedar Rapids	42.00833	-91.64407
Syria Damascus	33.26954	35.19626
BabelMandeb Strait	6.8127	122.0236
Ohio	40.25034	-83.00018
Bahaa elDin Abu Ras	33.53699	36.31307
Haryana Panipat	29.25	76.33333
Nir Am	31.51959	34.58006
Bern	46.94809	7.44744
Japan	35.68536	139.75309
Islamic Republic	32	53
Rohtak	28.89447	76.58917
Turkey	39	35
Israel Goren	41.68181	-70.27889
Blue Line	40.88291	-123.98395
UP	43.62841	6.22477
Maghazi	31.42234	34.38501
Mizoram	23	93
Kan	12.00012	8.51672
Uttar Pradesh	27.25	80.75
Sweden	62	15
Bab al	35.26943	69.68085
Malta	35.91667	14.43333
carogennez	NA	NA
Farhana	NA	NA
Palestine	31.92157	35.20329
Iran	32	53
West Bengal	19.38333	-71.21667
Arab America	25	45
Houthi	NA	NA
Khirbet Selm	33.22931	35.42407
Rafah	31.29722	34.24357
Red Sea	52.26682	-113.802
Munich	48.13743	11.57549
Oslo	59.91273	10.74609
Cape Town	-33.92584	18.42322
Abwein	32.03144	35.19992
alMawasi	NA	NA
Jawwal	NA	NA
Ein alHilweh	32.62899	34.94483
Doha	25.28545	51.53096
Gulf of Oman	8.5	79
Florida	28.75054	-82.5001
Middle East Eye	33.13906	35.85869
October7	NA	NA
Iraq	33	44
Silwad	31.97625	35.2613
Al Jazeera	14.6	33.35
alMaghazi	NA	NA
X	19.22364	-70.53051
New York City	40.71427	-74.00597
alKarama	NA	NA
Hodeidah province	20.75	-75.91667
Mediterranean Sea	35.78	19.33
State of Israel	20.5	84.41667
Mefalsim	31.50125	34.5637
Lebanon Nabatieh	37.83451	-85.7319
Rehovot	31.89421	34.81199
Daraj	33.24567	59.54541
Silicon Valley	37.37	-122.04
Dubai	25.07725	55.30927
El Arish	31.13159	33.79844
Hezbollah	29.8628	56.8848
northGaza	NA	NA
Bihar	25.75	85.75
Crimea	45	34
Rawaa	NA	NA
South Korea	36.5	127.75
Netherlands	52.25	5.75
Rmeish	NA	NA
Hong Kong	22.27832	114.17469
Dead Sea	44.86777	-73.62391
Qatar	25.5	51.25
Thameen Darby	NA	NA
Area C	-25.55132	-54.61622
BosniaHerzegovina	NA	NA
Dura	28.8	49.23333
RepJayapal	NA	NA
Melbourne Australia	-37.67333	144.84333
Southern Red Sea	21.28937	78.66211
West Jerusalem	31.78199	35.21961
Akrotiri	36.35796	25.3976
Brisbane	-27.46794	153.02809
alFawakhir	NA	NA
Tell elAjjul	36.53984	40.61373
Welch	30.23604	-92.82265
Gaza Deir elBalah	35.65832	65.18016
Rabat	34.01325	-6.83255
Tal alHawa	-36.72494	-73.11684
Maghazi Roads	43.84258	-68.88115
Sudan	16	30
Republic of South Africa	7	21
Ahmadiyyah Zawiya	NA	NA
Anadolu	39	35
RepCori	NA	NA
Bekaa Valley	33.83333	36
Beit Hanoon	31.5353	34.53579
Al Rayyan	25.29194	51.42444
Wadi Gaza	15	21.5
Santa Clara	22.40694	-79.96472
Ebel elSaqi	33.35667	35.62639
El Amal City Hospital	32.893	0.54839
Strip	-27.51667	27.05
Manipur	25	94
Hodeidah	14.79781	42.95452
Borj el Barajneh	33.84347	35.49874
Santiago	-33.45694	-70.64827
Qalqilya	32.18583	35.06583
London	51.50853	-0.12574
Taiz province	13.5	44
Portugal	39.6945	-8.13057
Hashemite Kingdom of Jordan	31	36
Nur Shams	51.1801	71.44598
Deir elBalah	35.33588	40.14084
Maghreb	30	5
Paris	48.85341	2.3488
Nakba Layer	NA	NA
Jamaa Islamiya	35.46804	-5.70106
Via Maris	47.87844	27.16671
Pakistan Balochistan province	41.22825	33.15674
Jabalia	31.5272	34.48347
alWalaja	NA	NA
alAmal	31.39064	37.3146
Bulgaria	42.66667	25.25
azaizamotaz9	NA	NA
Jordan Valley	42.97404	-117.0543
North Africa	32.95337	9.97559
alTanf	NA	NA
Beit Shemesh	31.73072	34.99293
Yiron	33.07757	35.4546
Dahiyeh	NA	NA
Basel	47.55839	7.57327
Yemen southern coast	12.79891	45.03313
Sidon	33.55751	35.37148
South Carolina	34.00043	-81.00009
Khan Younis	31.34018	34.30627
Haifa	32.81841	34.9885
Cape of Good Hope	37.52777	-108.02785
Entebbe	0.05621	32.47949
alTawil	NA	NA
South America	-14.60485	-57.65625
Hanita	33.08746	35.17364
DC	38.91706	-77.00025
SistanBaluchestan province	28.5	60.5
